# cfgfile = prep/Shapes_garpos.shapes-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
43,S01,L01,M12,3.6851072,-3.347542949604537e-08,47.425626955468516,-1.0678661992189802e-05,False,1420,41.99854,498.233,0.0,2.93,-0.57,0.42,1423.6851072,41.99854,498.233,0.0,0.34,1.0,-1.48,-0.016456771350599426,3.5606636325277624e-05,0.00040945094269885724,-0.00012373121898575653,-0.00024417739408257326,-0.015836526081972002,-9.083977070556415e-09
44,S01,L01,M13,3.1380168,3.797090839932446e-08,37.339935276899865,-1.1071051464549486e-05,False,1420,41.99854,498.233,0.0,2.93,-0.57,0.42,1423.1380168,41.99854,498.233,0.0,-0.02,4.94,-1.67,-0.016456776124911577,3.560483867754623e-05,0.0004094579109645771,-0.00012374047992376902,-0.00024418028282172197,-0.016418442254415726,1.2100288437899565e-08
45,S01,L01,M11,3.3114599,7.729378151074178e-09,41.04252196982867,-1.1124414873374118e-05,False,1450,44.99059,497.97173,0.0,1.12,-3.11,2.86,1453.3114599,44.99059,497.97173,0.0,0.61,-1.19,-1.09,-0.016456251315844585,3.580255969520828e-05,0.00040869146914493653,-0.0001227228225438578,-0.00024386449258979208,-0.01649758054124345,2.3341301114143675e-09
46,S01,L01,M12,3.6856222,-3.1224031801681203e-09,47.43295827342999,-1.0679204590784744e-05,False,1450,44.99059,497.97173,0.0,1.12,-3.11,2.86,1453.6856222,44.99059,497.97173,0.0,-0.98,0.79,0.14,-0.0164562480548927,3.580378914668518e-05,0.00040868670324320966,-0.00012271650237358263,-0.00024386254502805168,-0.015837330759262764,-8.471848222946221e-10
47,S01,L01,M13,3.1401936,1.3817943448785048e-08,37.39202173918292,-1.1071460385972902e-05,False,1450,44.99059,497.97173,0.0,1.12,-3.11,2.86,1453.1401936,44.99059,497.97173,0.0,3.38,0.61,-1.32,-0.016456252808504546,3.580199693544743e-05,0.0004086936506519784,-0.00012272571554974116,-0.00024386538417582197,-0.01641904868758049,4.4003476140641595e-09
48,S01,L01,M11,3.3088135,1.4212335875230172e-08,40.98982542521304,-1.1123164322623249e-05,False,1480,47.98101,497.6925,0.0,-2.63,-0.05,-2.63,1483.3088135,47.98101,497.6925,0.0,1.58,1.59,3.29,-0.016455728683602067,3.599970492665861e-05,0.00040792723817325487,-0.00012171040194765468,-0.0002435543713657136,-0.016495725966241687,4.295296784917468e-09
49,S01,L01,M12,3.6861986,3.75816127981758e-09,47.44118592798819,-1.0679746162129624e-05,False,1480,47.98101,497.6925,0.0,-2.63,-0.05,-2.63,1483.6861986,47.98101,497.6925,0.0,-2.57,0.91,-3.33,-0.016455725398256175,3.600094498693539e-05,0.0004079224310364236,-0.00012170404230365946,-0.00024355243883609728,-0.015838133913134916,1.0195221888942285e-09
50,S01,L01,M13,3.1423824,1.0308782219261748e-08,37.44422834253942,-1.1071875963448833e-05,False,1480,47.98101,497.6925,0.0,-2.63,-0.05,-2.63,1483.1423824,47.98101,497.6925,0.0,2.82,-2.65,2.17,-0.0164557301324901,3.599915804622675e-05,0.00040792935817392185,-0.00012171320668465121,-0.00024355522376718204,-0.01641966499171499,3.280562627105965e-09
51,S01,L01,M11,3.3061623,-2.3006537155537388e-08,40.93694768991719,-1.1121921437330392e-05,False,1510,50.9697,497.39531,0.0,0.29,-0.31,0.56,1513.3061623,50.9697,497.39531,0.0,-0.63,-2.06,0.13,-0.01645520659733274,3.619685334403716e-05,0.00040716297998430505,-0.000120700456581628,-0.00024324955494914741,-0.016493882759164656,-6.9586835738100206e-09
52,S01,L01,M12,3.6866971,-2.959615785470669e-08,47.44833338406454,-1.0680285986705247e-05,False,1510,50.9697,497.39531,0.0,0.29,-0.31,0.56,1513.6866971,50.9697,497.39531,0.0,-0.09,0.39,-1.9,-0.01645520328769447,3.6198103775567656e-05,0.0004071581325707964,-0.00012069406033925152,-0.00024324764195085796,-0.015838934476536753,-8.027824682788065e-09
53,S01,L01,M13,3.144533,3.058518358708519e-08,37.49535886802394,-1.1072298416866703e-05,False,1510,50.9697,497.39531,0.0,0.29,-0.31,0.56,1513.144533,50.9697,497.39531,0.0,-0.11,4.63,1.79,-0.016455208003087054,3.619632223292911e-05,0.00040716503888544805,-0.00012070317340238548,-0.0002432503676241893,-0.016420291492916676,9.72646277408451e-09
54,S01,L01,M11,3.3035037,-1.6262586873948308e-08,40.883724869439135,-1.112068643820915e-05,False,1540,53.95655,497.08017,0.0,-0.88,0.17,-2.52,1543.3035037,53.95655,497.08017,0.0,-1.51,0.16,0.44,-0.01645468496286437,3.639400532646024e-05,0.0004063986993266118,-0.00011969320566558819,-0.00024295060898796766,-0.016492051247332083,-4.922829921483185e-09
55,S01,L01,M12,3.6872063,-1.5517701528826632e-08,47.45558872518521,-1.0680823346930146e-05,False,1540,53.95655,497.08017,0.0,-0.88,0.17,-2.52,1543.6872063,53.95655,497.08017,0.0,3.29,-0.28,-1.9,-0.016454681628225352,3.6395266191733376e-05,0.00040639381143275184,-0.00011968677419502366,-0.0002429487196392574,-0.015839731385290233,-4.208525417048747e-09
56,S01,L01,M13,3.1467734,-1.032277802534842e-08,37.548578453087174,-1.1072727967243542e-05,False,1540,53.95655,497.08017,0.0,-0.88,0.17,-2.52,1543.1467734,53.95655,497.08017,0.0,-4.02,-0.75,0.49,-0.016454686324966276,3.639349030332895e-05,0.00040640069587485,-0.00011969583278491588,-0.00024295138087882993,-0.016420928518955265,-3.2804325644786303e-09
57,S01,L01,M11,3.3008714,-5.039733140859759e-10,40.8308756823769,-1.1119459545121916e-05,False,1570,56.94145,496.74709,0.0,3.56,1.95,1.35,1573.3008714,56.94145,496.74709,0.0,1.16,1.05,-2.5,-0.016454163685710052,3.659116137210326e-05,0.00040563440048715016,-0.0001186888678132483,-0.0002426580989542687,-0.01649023175680134,-1.526788695471737e-10
58,S01,L01,M12,3.6877064,-1.6467270968291178e-08,47.462723947784525,-1.068135752415384e-05,False,1570,56.94145,496.74709,0.0,3.56,1.95,1.35,1573.6877064,56.94145,496.74709,0.0,3.39,0.8,1.04,-0.01645416032581294,3.65924325575163e-05,0.0004056294725928847,-0.00011868240341778281,-0.00024265623772653738,-0.01584052357363196,-4.4654506758945445e-09
59,S01,L01,M13,3.1489424,-2.1445424343512394e-11,37.59989301490839,-1.1073164833494112e-05,False,1570,56.94145,496.74709,0.0,3.56,1.95,1.35,1573.1489424,56.94145,496.74709,0.0,0.01,0.25,2.32,-0.016454165005311952,3.659066211547748e-05,0.0004056363359121149,-0.0001186914067692473,-0.0002426588301094444,-0.016421576394482794,-6.810357833231251e-12
