# cfgfile = res//lambda/Shapes_garpos.shapes_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
48,S01,L01,M11,3.3088135,6.978645130957597e-08,40.98986715179632,-1.1536254295155641e-05,False,1480,47.98101,497.6925,0.0,-2.63,-0.05,-2.63,1483.3088135,47.98101,497.6925,0.0,1.58,1.59,3.29,-0.016906698962946352,-0.00012955097789797443,0.0005618260740919124,-0.00024067521470195157,-0.0004350469597371448,-0.017108341116809707,2.10910804931963e-08
49,S01,L01,M12,3.6861986,-6.035231697296154e-08,47.44118906521729,-1.0710878737266994e-05,False,1480,47.98101,497.6925,0.0,-2.63,-0.05,-2.63,1483.6861986,47.98101,497.6925,0.0,-2.57,0.91,-3.33,-0.016906695377206724,-0.0001295487872856717,0.0005618198969327556,-0.00024067653557209527,-0.0004350490114891101,-0.015884303727154922,-1.6372508182538326e-08
50,S01,L01,M13,3.1423824,7.076793277799927e-08,37.44424797471842,-1.1401197227704606e-05,False,1480,47.98101,497.6925,0.0,-2.63,-0.05,-2.63,1483.1423824,47.98101,497.6925,0.0,2.82,-2.65,2.17,-0.016906700544299047,-0.00012955194398260621,0.000561828798288433,-0.00024067463220236917,-0.00043504605493597387,-0.016908050596067755,2.252047143214142e-08
51,S01,L01,M11,3.3061623,2.973145410861228e-08,40.93698943055196,-1.1536833669915352e-05,False,1510,50.9697,497.39531,0.0,0.29,-0.31,0.56,1513.3061623,50.9697,497.39531,0.0,-0.63,-2.06,0.13,-0.01690612891725888,-0.00012920271047214,0.0005608440174675656,-0.00024088555026309413,-0.000435373951868146,-0.01710920033339509,8.992738886881568e-09
52,S01,L01,M12,3.6866971,-9.074372190735915e-08,47.448336510870746,-1.0710795555345065e-05,False,1510,50.9697,497.39531,0.0,0.29,-0.31,0.56,1513.6866971,50.9697,497.39531,0.0,-0.09,0.39,-1.9,-0.01690612530190194,-0.00012920050157612704,0.0005608377887382698,-0.00024088688717623287,-0.00043537603253289284,-0.015884180367816726,-2.4613826365982305e-08
53,S01,L01,M13,3.144533,8.935563702311359e-08,37.4953785046157,-1.1401620134932205e-05,False,1510,50.9697,497.39531,0.0,0.29,-0.31,0.56,1513.144533,50.9697,497.39531,0.0,-0.11,4.63,1.79,-0.01690613045285517,-0.00012920364868376576,0.0005608466630724722,-0.00024088498243962647,-0.00043537306816914337,-0.01690867777027226,2.841618637616783e-08
54,S01,L01,M11,3.3035037,3.364656154476404e-08,40.883766624568096,-1.153741904799006e-05,False,1540,53.95655,497.08017,0.0,-0.88,0.17,-2.52,1543.3035037,53.95655,497.08017,0.0,-1.51,0.16,0.44,-0.01690555892001562,-0.00012885444295477895,0.0005598619585475668,-0.00024109670849555508,-0.000435702880101012,-0.017110068452936163,1.0185113918925737e-08
55,S01,L01,M12,3.6872063,-7.370678973162634e-08,47.45559184135914,-1.0710715057402637e-05,False,1540,53.95655,497.08017,0.0,-0.88,0.17,-2.52,1543.6872063,53.95655,497.08017,0.0,3.29,-0.28,-1.9,-0.016905555274868242,-0.00012885221566959285,0.0005598556779510322,-0.00024109806205641738,-0.0004357049911031623,-0.015884060988837812,-1.9989873978332184e-08
56,S01,L01,M13,3.1467734,4.669352724588119e-08,37.54859809420742,-1.1402048908078447e-05,False,1540,53.95655,497.08017,0.0,-0.88,0.17,-2.52,1543.1467734,53.95655,497.08017,0.0,-4.02,-0.75,0.49,-0.016905560408943112,-0.00012885535272969347,0.0005598645239707596,-0.00024109615563027895,-0.0004357020178739571,-0.016909313643672756,1.4838541229078572e-08
57,S01,L01,M11,3.3008714,4.657904630340012e-08,40.83091745153703,-1.153801048210129e-05,False,1570,56.94145,496.74709,0.0,3.56,1.95,1.35,1573.3008714,56.94145,496.74709,0.0,1.16,1.05,-2.5,-0.01690498896999057,-0.00012850617513849997,0.0005588798968263441,-0.00024130876107389347,-0.00043603392125563586,-0.01711094555361929,1.4111136314998163e-08
